mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_C,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,split5_test_score,split5_train_score,split6_test_score,split6_train_score,split7_test_score,split7_train_score,split8_test_score,split8_train_score,split9_test_score,split9_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0.00647740364075,0.000760889053345,0.798022074679,0.807334287791,0.1,{'C': 0.1},10,0.766666666667,0.813982521848,0.777777777778,0.812734082397,0.786516853933,0.809226932668,0.865168539326,0.80174563591,0.808988764045,0.80174563591,0.786516853933,0.807980049875,0.786516853933,0.806733167082,0.775280898876,0.806733167082,0.842696629213,0.806733167082,0.784090909091,0.805728518057,0.0023911015031,0.00072060730507,0.0302093921596,0.00378793486753
0.00896246433258,0.000852108001709,0.800257065032,0.811697600401,0.2,{'C': 0.2},8,0.788888888889,0.815230961298,0.777777777778,0.808988764045,0.786516853933,0.81421446384,0.842696629213,0.807980049875,0.808988764045,0.815461346633,0.786516853933,0.811720698254,0.797752808989,0.807980049875,0.797752808989,0.816708229426,0.820224719101,0.809226932668,0.795454545455,0.809464508095,0.00428934174398,0.000717310711132,0.0182313295235,0.00322739867025
0.00853168964386,0.000793647766113,0.799158722052,0.811822444346,0.3,{'C': 0.3},9,0.777777777778,0.813982521848,0.777777777778,0.811485642946,0.786516853933,0.811720698254,0.842696629213,0.807980049875,0.797752808989,0.810473815461,0.786516853933,0.816708229426,0.808988764045,0.810473815461,0.797752808989,0.817955112219,0.808988764045,0.807980049875,0.806818181818,0.809464508095,0.00318139813812,0.000379490123634,0.0183993275241,0.0032403037975
0.00900251865387,0.000716018676758,0.800269833163,0.81269495097,0.4,{'C': 0.4},7,0.777777777778,0.812734082397,0.788888888889,0.810237203496,0.786516853933,0.815461346633,0.842696629213,0.809226932668,0.797752808989,0.811720698254,0.786516853933,0.820448877805,0.808988764045,0.809226932668,0.797752808989,0.816708229426,0.808988764045,0.811720698254,0.806818181818,0.809464508095,0.00309742698315,0.000555033288437,0.017381977878,0.00355405661157
0.00866389274597,0.000751423835754,0.802529792305,0.813318082198,0.5,{'C': 0.5},6,0.777777777778,0.812734082397,0.788888888889,0.811485642946,0.786516853933,0.815461346633,0.842696629213,0.811720698254,0.797752808989,0.811720698254,0.786516853933,0.819201995012,0.808988764045,0.810473815461,0.808988764045,0.815461346633,0.808988764045,0.811720698254,0.818181818182,0.813200498132,0.00312234759326,0.000462415032112,0.0182151038386,0.00251525485665
0.00937743186951,0.000663423538208,0.803666155941,0.813692613258,0.6,{'C': 0.6},5,0.777777777778,0.813982521848,0.788888888889,0.811485642946,0.786516853933,0.815461346633,0.842696629213,0.812967581047,0.797752808989,0.810473815461,0.786516853933,0.817955112219,0.808988764045,0.81421446384,0.808988764045,0.815461346633,0.808988764045,0.81421446384,0.829545454545,0.810709838107,0.00359921301494,0.000276833564694,0.0194675292413,0.00222953879701
0.00921950340271,0.000591278076172,0.804777267053,0.813817145871,0.7,{'C': 0.7},1,0.777777777778,0.812734082397,0.8,0.811485642946,0.786516853933,0.81421446384,0.842696629213,0.812967581047,0.797752808989,0.810473815461,0.786516853933,0.820448877805,0.808988764045,0.81421446384,0.808988764045,0.815461346633,0.808988764045,0.815461346633,0.829545454545,0.810709838107,0.00348019898358,7.13159349964e-05,0.0189012548431,0.00279045330397
0.00947065353394,0.000685453414917,0.804777267053,0.814939185107,0.8,{'C': 0.8},1,0.777777777778,0.812734082397,0.8,0.811485642946,0.786516853933,0.817955112219,0.842696629213,0.81421446384,0.797752808989,0.812967581047,0.786516853933,0.820448877805,0.808988764045,0.815461346633,0.808988764045,0.816708229426,0.808988764045,0.815461346633,0.829545454545,0.81195516812,0.00321611088177,0.000235614378829,0.0189012548431,0.00270617045627
0.00908780097961,0.000735855102539,0.804777267053,0.814565119881,0.9,{'C': 0.9},1,0.777777777778,0.811485642946,0.8,0.811485642946,0.786516853933,0.817955112219,0.842696629213,0.81421446384,0.797752808989,0.812967581047,0.786516853933,0.820448877805,0.808988764045,0.815461346633,0.808988764045,0.816708229426,0.808988764045,0.81421446384,0.829545454545,0.810709838107,0.0053908540549,0.00073797896702,0.0189012548431,0.00296874383983
0.0085679769516,0.000878429412842,0.804777267053,0.814564964216,1.0,{'C': 1.0},1,0.777777777778,0.810237203496,0.8,0.811485642946,0.786516853933,0.817955112219,0.842696629213,0.81421446384,0.797752808989,0.812967581047,0.786516853933,0.820448877805,0.808988764045,0.816708229426,0.808988764045,0.816708229426,0.808988764045,0.81421446384,0.829545454545,0.810709838107,0.00469986534139,0.000986274630087,0.0189012548431,0.0031807511346
